Datetime,Tweet Id,Text,Username
2021-10-10 23:06:08+00:00,1447337682078683136,‘It wasn’t just Russia disinformation’: DHS whistleblower explains how Trump muzzled intel - Raw Story - Celebrating… https://t.co/pURfIQYMwN https://t.co/RUpd8Hx1rM,swtyndall
2021-10-10 23:06:07+00:00,1447337676722642945,"1-Facebook Whistleblower Testifies on Protecting Kids Online
2-Adam Harris, ""The State Must Provide""
3-The Civil War: Fallen Leaders - Confederate Officer John Pelham
https://t.co/Dz9xKswxJO",CSPANschedule
2021-10-10 23:05:28+00:00,1447337515002875904,@nytimes @ldsteinberg The whistleblower said something else,Mick_Ardon
2021-10-10 23:05:03+00:00,1447337412284215299,Facebook exec Nick Clegg called Big Tobacco comparisons 'extremely misleading' but said the company needs to be 'held to account' after whistleblower testimony https://t.co/FZI9Nqhq9l https://t.co/ZywLSmzqYe,TechNewsTube
2021-10-10 23:04:32+00:00,1447337281824645127,@UnfilteredOnFox @dbongino @karaafrederick I bet she won't get a whistleblower hearing...,BergdoltSteve
2021-10-10 23:02:22+00:00,1447336736393154567,@comradeshabs But as a whistleblower I want to use the positives without lionizing her. Facebook wants her targeted and she’s been super smart about how she’s come forward legally.,cmg
2021-10-10 23:02:11+00:00,1447336687315660803,Who knew being a “whistleblower” was such a lucrative business? https://t.co/1LA09AVpjG,thegroundedcat9
2021-10-10 23:00:57+00:00,1447336378749042690,"Facebook whistleblower says moderators could see users’ chat messages

https://t.co/QhCZlrhIw1 https://t.co/YvAFit9VOU",fmllolnews
2021-10-10 23:00:42+00:00,1447336315029233664,"Fascinating. Tristan Harris of Humane Tech and whistleblower Frances Haugen, etc. https://t.co/vQbRunPPoP",DianaVGalbraith
2021-10-10 23:00:28+00:00,1447336258229919750,"Analysis: Zuckerberg tries to hit hard at the whistleblower, but nothing lands https://t.co/np0EKR8aOB",aryap
2021-10-10 23:00:26+00:00,1447336247274377218,"BREAKING: Pfizer ‘Fetal Cell’ Whistleblower Melissa Strickler has been TERMINATED

“You are not under any circumstances to return to work. Your termination is being processed at the current time.” 
https://t.co/FWqVgAAy8i",ChrisRotondo3
2021-10-10 23:00:18+00:00,1447336214797901831,SNL’s take on the Facebook whistleblower hearing reminds us of the good old MySpace days https://t.co/O9tEnt6TZy,_TopTechNews
2021-10-10 23:00:12+00:00,1447336187950243841,"In the aftermath of a whistleblower's testimony that Facebook's platforms harm children, they will be introducing new features including prompting teens to take a break

Critics say they are skeptical that the new features will be effective. https://t.co/v8b2OGOiaQ",ktivnews
2021-10-10 22:59:18+00:00,1447335965194862592,"Just sharing the voice of unheard.
Bakhtawar soomro #Whistleblower in #SukkurIBA was harrassed during investigation. A letter to FIA Cyber crime reveals. @BBhuttoZardari @ImranKhanPTI i don’t who will take notice but stories like this are covered and sheltered inside. https://t.co/EBf9fLkpTG",ShoukatZardari
2021-10-10 22:58:16+00:00,1447335703545737217,The Facebook whistleblower says its algorithms are dangerous. Here’s why. https://t.co/jemPon6kKv,Planck_Epoch
2021-10-10 22:57:39+00:00,1447335548876693514,Pfizer fired the whistleblower that let us know their lies https://t.co/AnaOd15FSq,Emjay19841
2021-10-10 22:57:03+00:00,1447335398422712321,Destroy the WhistleBlowers! https://t.co/GVoOpsD9uw,laserhaas01
2021-10-10 22:55:53+00:00,1447335102405496837,Well done..as a society we must do all we can to protect such whistleblowers and not allow the powerful to install laws that silence potential whistleblowers from speaking out from fear of punishment and jail..it’s vitally important we support them as appropriate. https://t.co/FONgZpNSiU,notasheepyet
2021-10-10 22:55:16+00:00,1447334948977971212,"@Fransbu2 @ScottJa93317027 @1984cov ""Because they know they will reach their goals either soft or hard way.""

You may be right....but I think you're wrong.  Too many little strands unravelling, too much knowledge now, too many whistleblowers.  Yes, they're powerful, but their arrogance will be their downfall.",AndreaEleanorF1
2021-10-10 22:55:10+00:00,1447334923757555718,IT WAS A SETUP: Fake Whistleblower Frances Haugen Was Part of Anti-Trump Election Meddling Team that Banned Hunter Biden Laptop Content https://t.co/EzOwAhP8vC via @gatewaypundit,mark_taras
